topic,recipient_name,usd_disbursement_defl
6,Democratic Republic of the Congo,3.666377
6,"Africa, regional",2.46135
6,Gabon,2.212833
7,"South of Sahara, regional",13.245828
7,"Bilateral, unspecified",12.882423
7,China (People's Republic of),5.803436
7,Peru,4.788799
7,Indonesia,4.2825679999999995
7,Mexico,3.4170309999999997
7,"America, regional",2.861271
7,Cabo Verde,2.667418
7,India,2.441725
7,Madagascar,1.695572
7,"Southern Africa, regional",1.529759
7,Jordan,1.250479
7,"Oceania, regional",1.238304
7,Colombia,0.9504060000000001
7,Liberia,0.643579
8,"Far East Asia, regional",20.316092
8,Brazil,6.356569
8,Viet Nam,4.523251
8,"Oceania, regional",3.146281
8,China (People's Republic of),3.1400829999999997
8,Mexico,2.321565
8,Solomon Islands,2.230901
8,Cambodia,2.071926
8,"Western Africa, regional",1.35921
8,Côte d'Ivoire,1.1059
8,Philippines,1.0373649999999999
8,Palau,0.960234
8,"Bilateral, unspecified",0.852841
8,Vanuatu,0.7542190000000001
8,Kiribati,0.73134
9,"Bilateral, unspecified",202.835518
9,Guatemala,0.952321
9,Türkiye,0.848363
9,Georgia,0.833043
9,Indonesia,0.504762
9,Ethiopia,0.371629
9,"Africa, regional",0.254644
9,Zambia,0.211099
9,Argentina,0.198056
9,Burkina Faso,0.198056
9,Ecuador,0.198056
9,Ghana,0.198056
9,India,0.198056
9,Kazakhstan,0.198056
9,Kyrgyzstan,0.198056
10,"Bilateral, unspecified",186.585024
10,Liberia,34.689308
10,Peru,25.943241
10,Mozambique,18.280998
10,Cambodia,17.137072
10,Philippines,16.722545999999998
10,"America, regional",16.036655
10,"South of Sahara, regional",14.926556999999999
10,China (People's Republic of),13.609829
10,Uganda,13.47847
10,Indonesia,8.76226
10,Lebanon,8.426592
10,Democratic Republic of the Congo,7.138843
10,India,6.0959520000000005
10,Zambia,5.9836030000000004
11,Ghana,37.723694
11,"Far East Asia, regional",23.858644
11,Senegal,18.704927
11,Ethiopia,3.369291
11,"Bilateral, unspecified",3.013702
11,Tanzania,0.921325
11,Kenya,0.909332
11,"Caribbean, regional",0.571279
11,Saint Helena,0.167148
11,"Europe, regional",0.12210299999999999
11,Colombia,0.095181
11,Madagascar,0.025838
11,Eritrea,0.024313
11,"South of Sahara, regional",0.01894
11,Mali,0.016409
12,"Bilateral, unspecified",27.550481
12,China (People's Republic of),9.743283
12,Tanzania,9.584043999999999
12,Viet Nam,7.978033
12,Honduras,6.346984
12,Bangladesh,5.371594
12,Philippines,5.335081
12,South Sudan,5.022564
12,Kenya,3.4135500000000003
12,Jordan,2.852738
12,Indonesia,2.822308
12,Niger,2.752195
12,Burkina Faso,2.639055
12,Brazil,1.603423
12,Peru,1.3973170000000001
13,"Oceania, regional",2.167463
13,Philippines,2.157186
13,Niger,1.4674280000000002
13,Chad,1.409826
13,Kenya,1.303132
13,"Bilateral, unspecified",1.195698
13,Indonesia,0.977643
13,Rwanda,0.952551
13,"America, regional",0.9264060000000001
13,Ethiopia,0.924048
13,Senegal,0.885158
13,"Africa, regional",0.859678
13,Honduras,0.8430799999999999
13,Tanzania,0.681979
13,Peru,0.680479
14,Mozambique,42.851926
14,Sri Lanka,36.994841
14,"Bilateral, unspecified",17.958356000000002
14,Indonesia,9.570805
14,Colombia,4.8936519999999994
14,Mauritania,4.548165
14,Philippines,2.7821160000000003
14,"South of Sahara, regional",1.840909
14,"Caribbean & Central America, regional",1.011704
14,"America, regional",0.856319
14,Mauritius,0.7082710000000001
14,Ghana,0.58797
14,Haiti,0.475883
14,Guyana,0.258728
14,Tunisia,0.211493
15,"Bilateral, unspecified",10.565527
15,Brazil,5.345831
15,"Oceania, regional",4.4376739999999995
15,"South of Sahara, regional",3.6637969999999997
15,Mexico,2.674202
15,Saint Helena,2.5293509999999997
15,"Asia, regional",1.659371
15,"Western Africa, regional",1.51871
15,China (People's Republic of),1.399866
15,Albania,1.000907
15,Ecuador,0.99831
15,Mauritius,0.73846
15,Cameroon,0.700954
15,Democratic Republic of the Congo,0.676176
15,Grenada,0.644763
16,Madagascar,57.985392
16,Lao People's Democratic Republic,30.512035
16,Democratic Republic of the Congo,19.392308999999997
16,"Bilateral, unspecified",17.22601
16,Benin,16.726547
16,China (People's Republic of),9.649882
16,India,8.429996000000001
16,"South of Sahara, regional",8.419844000000001
16,Indonesia,6.279338
16,"South America, regional",5.997945
16,South Africa,4.017754
16,Philippines,3.966732
16,"Europe, regional",3.830375
16,"Africa, regional",3.676212
16,Guatemala,3.401829
17,"Bilateral, unspecified",29.932195
17,"Southern Africa, regional",10.666585000000001
17,"South of Sahara, regional",7.177666
17,Chad,1.829476
17,Kenya,0.758937
17,South Africa,0.713255
17,Philippines,0.595005
17,Brazil,0.530442
17,Sri Lanka,0.334167
17,Thailand,0.294806
17,Ethiopia,0.26332
17,Senegal,0.257264
17,Côte d'Ivoire,0.183828
17,"Oceania, regional",0.171151
17,India,0.13292800000000002
18,Tanzania,26.537368
18,Brazil,15.11069
18,"South of Sahara, regional",9.147461
18,Ecuador,8.943019000000001
18,"Central Asia, regional",5.987572
18,Guinea,3.82646
18,"Bilateral, unspecified",3.077857
18,Kenya,3.0519619999999996
18,"Caribbean & Central America, regional",2.831154
18,North Macedonia,2.5698529999999997
18,Cameroon,2.070439
18,Peru,2.034465
18,Mauritania,1.674231
18,Nicaragua,0.91201
18,Ethiopia,0.824919
19,India,35.79669
19,Bolivia,0.324395
19,Nicaragua,0.011703
19,Bangladesh,0.0
19,"Bilateral, unspecified",0.0
19,Brazil,0.0
19,Cambodia,0.0
19,Chile,0.0
19,China (People's Republic of),0.0
19,Colombia,0.0
19,Costa Rica,0.0
19,Ecuador,0.0
19,Ethiopia,0.0
19,Guatemala,0.0
19,Honduras,0.0
20,Indonesia,41.438309
20,Malawi,19.206163
20,Brazil,17.588104
20,Bangladesh,16.357115999999998
20,"Oceania, regional",13.413571000000001
20,Kenya,12.910198
20,Democratic Republic of the Congo,12.512903
20,"Bilateral, unspecified",11.796937
20,Côte d'Ivoire,10.813149
20,"Far East Asia, regional",10.627351
20,China (People's Republic of),9.345957
20,"Caribbean & Central America, regional",8.216277999999999
20,"South of Sahara, regional",7.808903
20,Gabon,6.968128
20,Lao People's Democratic Republic,5.315017
21,"Bilateral, unspecified",512.720563
21,Brazil,66.717641
21,"South America, regional",46.595472
21,Colombia,41.57404
21,Peru,38.806938
21,"America, regional",36.842428
21,"Asia, regional",27.666572
21,Indonesia,25.646594
21,Cambodia,25.044791
21,"Africa, regional",23.195724000000002
21,"Middle Africa, regional",21.815123999999997
21,Madagascar,21.711154
21,"Caribbean & Central America, regional",20.942086
21,Mexico,16.471063
21,Philippines,14.91118
22,Burkina Faso,2.572001
22,"South of Sahara, regional",1.363407
22,"Oceania, regional",0.7224999999999999
22,"Caribbean, regional",0.561947
22,"South Asia, regional",0.40138799999999997
22,"Caribbean & Central America, regional",0.080278
22,"Far East Asia, regional",0.080278
22,"South America, regional",0.080278
23,Indonesia,78.202878
23,"South of Sahara, regional",69.48087699999999
23,"Caribbean & Central America, regional",32.586925
23,"Bilateral, unspecified",24.471499
23,"Western Africa, regional",14.343217
23,Viet Nam,12.761051
23,Peru,12.685022
23,"Central America, regional",8.405286
23,Myanmar,6.743836
23,"America, regional",6.1583950000000005
23,Guatemala,5.664091
23,India,5.425722
23,Chad,4.487252
23,"Far East Asia, regional",4.185193
23,"South America, regional",4.028916
24,Tanzania,63.03983
24,Bangladesh,36.630755
24,Nepal,36.099535
24,"South of Sahara, regional",31.686529999999998
24,Jordan,30.411436
24,"Southern Africa, regional",27.932457
24,Brazil,20.808155
24,Cambodia,20.221592
24,Democratic Republic of the Congo,17.424877
24,Burkina Faso,15.863000999999999
24,"Bilateral, unspecified",15.419165999999999
24,Mali,14.295619
24,Madagascar,13.727928000000002
24,Ethiopia,13.578392000000001
24,Kenya,10.738088
25,"Bilateral, unspecified",33.698945
25,Zambia,2.65281
25,Mozambique,1.917698
25,Democratic Republic of the Congo,0.926914
25,Fiji,0.889105
25,Ethiopia,0.650503
25,Tonga,0.551255
25,Indonesia,0.336601
25,"South of Sahara, regional",0.230738
25,Senegal,0.194849
25,Haiti,0.125646
25,India,0.0
26,"South of Sahara, regional",27.163838000000002
26,"Bilateral, unspecified",24.491429
26,Tanzania,15.145733
26,"Africa, regional",8.216527
26,Sri Lanka,1.508006
26,Democratic Republic of the Congo,0.980449
26,"Asia, regional",0.667511
26,Kenya,0.49015800000000004
26,Niger,0.168064
26,"Eastern Africa, regional",0.155269
26,Madagascar,0.095531
26,Mozambique,0.053479
26,Comoros,0.051109
26,Armenia,0.042471
26,"Oceania, regional",0.037747
27,"Bilateral, unspecified",35.297838999999996
27,Guatemala,31.467762
27,Burundi,22.244105
27,Brazil,12.315118
27,India,9.731834
27,Chad,8.627536
27,Rwanda,7.676578
27,Tajikistan,6.23027
27,"Caribbean & Central America, regional",5.319807
27,Indonesia,4.669837
27,"South of Sahara, regional",3.628768
27,Ethiopia,3.411362
27,"America, regional",3.059167
27,Viet Nam,2.733653
27,"Africa, regional",2.325887
28,"Bilateral, unspecified",145.004445
28,"South of Sahara, regional",48.708655
28,Haiti,46.32656
28,Uganda,22.877005
28,Tanzania,22.247006
28,India,21.447580000000002
28,Bangladesh,17.499106
28,Indonesia,14.78235
28,"Africa, regional",12.504455
28,South Sudan,12.297368
28,Democratic Republic of the Congo,11.231753
28,Namibia,9.928183
28,Colombia,9.380107
28,Mozambique,8.217766
28,"Far East Asia, regional",8.169080000000001
29,"Bilateral, unspecified",2.391368
29,Indonesia,1.058406
29,Cameroon,0.430544
29,Uganda,0.38450399999999996
29,"Asia, regional",0.376017
29,Madagascar,0.253703
29,Tanzania,0.221625
29,"South Asia, regional",0.215794
29,Kenya,0.207046
29,Democratic Republic of the Congo,0.163303
29,Mozambique,0.154554
29,"Eastern Africa, regional",0.07710800000000001
29,Namibia,0.055406
29,Mali,0.039891
29,"Western Africa, regional",0.02979
