topic,donor_name,usd_disbursement_defl
24,Austria,10.332723
24,Norway,9.497136000000001
24,Netherlands,5.788145999999999
24,Global Environment Facility,4.620009
24,Switzerland,4.133087
24,Luxembourg,2.16263
24,Korea,1.947379
24,Canada,1.862512
24,Denmark,1.335972
25,United States,40.734704
25,Global Environment Facility,1.44036
25,International Development Association,0.0
26,United States,40.044309999999996
26,France,9.357059
26,EU Institutions,5.470552
26,Switzerland,4.955529
26,United Arab Emirates,4.524668
26,Sweden,3.627145
26,Norway,3.0013970000000003
26,Canada,2.682499
26,Germany,1.176642
26,Netherlands,0.795898
26,International Development Association,0.742909
26,Denmark,0.650141
26,Austria,0.612292
26,Italy,0.38134999999999997
26,Finland,0.37846
27,Germany,63.148476
27,United States,31.822249999999997
27,International Development Association,28.474375
27,Global Environment Facility,15.400459999999999
27,France,10.404243999999998
27,EU Institutions,8.718461999999999
27,Netherlands,5.870023
27,Korea,3.715032
27,Sweden,2.315225
27,Canada,1.351959
27,United Kingdom,1.142761
27,Norway,0.950027
27,Italy,0.540657
27,Austria,0.160193
27,Japan,0.081765
28,Germany,231.003538
28,United States,104.492253
28,Sweden,57.119649
28,United Kingdom,45.567642
28,Belgium,35.946296
28,EU Institutions,32.509253
28,Norway,18.655952
28,Switzerland,15.970932999999999
28,Netherlands,9.466904
28,Ireland,6.169173
28,Finland,5.438622
28,Austria,5.338258
28,Italy,3.583195
28,France,2.900661
28,Global Environment Facility,2.2063639999999998
29,Sweden,5.8097840000000005
29,France,0.124351
29,EU Institutions,0.102102
29,Japan,0.055243
29,Germany,0.012517
29,Norway,0.0
