recipient_name,usd_disb,proj_n
Algeria,4.3052526999999995e-05,152
Kosovo,3.7490206e-05,150
Angola,4.8130662e-05,144
Comoros,4.5102672e-05,143
Lesotho,1.7936697e-05,139
Solomon Islands,3.0626752e-05,134
Somalia,9.473416500000001e-05,133
Türkiye,4.8889715e-05,128
Iran,3.3153553000000005e-05,123
Eswatini,2.4469398e-05,122
Ukraine,6.143562500000001e-05,121
Fiji,4.5287368e-05,116
Iraq,6.4116066e-05,115
"Central America, regional",3.0110357e-05,113
Uzbekistan,0.000122091376,113
Kazakhstan,9.482299e-06,110
Vanuatu,3.1824714e-05,108
Wallis and Futuna,1.484802e-06,104
"South Asia, regional",3.1407119000000005e-05,101
Panama,8.198994e-06,96
Belarus,6.454378e-06,92
Cabo Verde,1.1091388e-05,91
Djibouti,1.8310073e-05,90
Mauritius,0.000133659382,90
Samoa,1.062702e-05,75
Montenegro,2.5924268e-05,75
Belize,5.233458e-06,75
Micronesia,8.669957e-06,75
Central African Republic,2.9212316000000002e-05,72
Guinea-Bissau,5.576785e-06,72
Azerbaijan,1.0328492e-05,71
"Middle East, regional",0.000215934786,71
Venezuela,6.071226e-06,68
Guyana,7.325671299999999e-05,68
Gambia,5.318953999999999e-06,66
Syrian Arab Republic,1.7342159e-05,62
Palau,7.375743e-06,59
Kiribati,1.9295799e-05,52
"South & Central Asia, regional",2.1546783000000002e-05,51
Eritrea,2.3463958000000003e-05,49
Equatorial Guinea,4.462956999999999e-06,48
Tonga,3.2681200000000002e-06,47
Chile,4.500279e-06,41
"North of Sahara, regional",1.3961044e-05,41
Marshall Islands,9.557031e-06,40
Saint Lucia,1.618317e-06,40
Tuvalu,9.116712e-06,39
Libya,9.820512e-06,34
"Middle Africa, regional",7.4692145e-05,34
Sao Tome and Principe,4.600213e-06,31
Saint Vincent and the Grenadines,3.7274569999999998e-06,29
Uruguay,2.461551e-06,29
Saint Helena,1.1001137e-05,28
Maldives,5.737491e-06,27
Suriname,2.234406e-06,27
"Melanesia, regional",8.327391e-06,26
Grenada,6.235771e-06,26
Nauru,1.387878e-06,24
Niue,1.7382119999999998e-06,20
Democratic People's Republic of Korea,4.134946e-06,20
Dominica,7.858069999999999e-07,18
Turkmenistan,5.12022e-07,17
Antigua and Barbuda,6.443170000000001e-07,15
Seychelles,1.996456e-06,14
States Ex-Yugoslavia unspecified,2.6878778e-05,12
Montserrat,5.72328e-07,8
Tokelau,3.9332899999999996e-07,8
Cook Islands,1.4211969999999998e-06,8
"Polynesia, regional",0.0,0
"Micronesia, regional",0.0,0
Afghanistan,0.0,0
